0.051319,0.10342,0.13618,0.38931,0.31977,0.50523,0.49865,0.48659,0.5361,0.64978,0.45317,0.48579,0.46074,0.44791,0.53574,pd_off_closed
0.056817,0.11404,0.13174,0.38621,0.31118,0.70917,0.65958,0.68338,0.68337,0.67774,0.6836,0.6443,0.6732,0.60974,0.74391,pd_off_closed
0.049722,0.10174,0.13533,0.40911,0.3041,0.65994,0.621,0.66504,0.67259,0.56288,0.62414,0.47736,0.47807,0.55426,0.70471,pd_off_closed
0.052661,0.097333,0.13362,0.41224,0.30415,0.61081,0.63653,0.65857,0.65893,0.56868,0.67069,0.53348,0.53412,0.57023,0.7635,pd_off_closed
0.051826,0.10285,0.13964,0.41262,0.29306,0.56412,0.58242,0.57643,0.6382,0.61697,0.51895,0.54609,0.50264,0.50841,0.64915,pd_off_closed
0.049376,0.10375,0.13278,0.38827,0.32583,0.49965,0.49183,0.47988,0.57272,0.64525,0.428,0.44609,0.49303,0.48929,0.60402,pd_off_closed
0.050218,0.10582,0.13585,0.38994,0.31817,0.50998,0.43908,0.48316,0.48155,0.67171,0.42188,0.49891,0.46131,0.44455,0.42598,pd_off_closed
0.051501,0.10936,0.13355,0.38869,0.3169,0.50409,0.45958,0.50024,0.56681,0.77627,0.40917,0.49286,0.46297,0.45479,0.45994,pd_off_closed
0.052635,0.10949,0.13514,0.38793,0.31481,0.49277,0.48546,0.55867,0.5743,0.70707,0.37441,0.45584,0.49615,0.49345,0.47481,pd_off_closed
0.052061,0.10866,0.13328,0.38665,0.31934,0.49457,0.46855,0.50143,0.57253,0.7112,0.38283,0.4931,0.47998,0.46886,0.48908,pd_off_closed
0.05118,0.11279,0.13427,0.38823,0.31353,0.5358,0.4804,0.53834,0.50834,0.72932,0.45174,0.53267,0.50664,0.48946,0.4416,pd_off_closed
0.050967,0.098993,0.13786,0.39135,0.32083,0.53183,0.58821,0.6023,0.52156,0.6831,0.51975,0.44133,0.53972,0.57252,0.62169,pd_off_closed
0.054564,0.11365,0.12217,0.38591,0.32371,0.70788,0.68652,0.67908,0.63398,0.64863,0.67708,0.68058,0.60432,0.55788,0.74028,pd_off_closed
0.050564,0.102,0.13473,0.39261,0.3201,0.43797,0.56717,0.54598,0.54168,0.6418,0.43582,0.38903,0.46939,0.54077,0.6265,pd_off_closed
0.049614,0.10347,0.13872,0.3956,0.3126,0.45206,0.58567,0.54061,0.49786,0.5746,0.37707,0.40167,0.49725,0.54958,0.57618,pd_off_closed
